source_file,pi1,pi2,pi3,pi4,pi5,m_flow_g_s,m_flow_kg_s,Pin_Pa,Pout_Pa,deltaP_Pa,subcooling_K,Tin_K,rho_in_kg_m3,Aref_m2,Cd_true
fixed_data_simple_B-3W35_R290.pkl,0.1978124026364572,0.04772360991837582,1.7859118091871864,2.7266299377391726e-06,1.1499999761581405,5.9398408699780205,0.00593984086997802,1202429.19921875,361495.97167968744,840933.2275390625,4.616782450675965,302.9981835300333,485.0799420653507,2.544690049407732e-06,0.08172172135384927
fixed_data_simple_B-3W35_R290.pkl,0.19979542967276168,0.05118270833813264,1.7836152298625618,2.7150007595961115e-06,1.4038277077674877,7.9702455364167415,0.007970245536416742,1205244.140625,355880.7373046875,849363.4033203125,4.951415662765503,302.7613791859032,485.49277339271964,2.544690049407732e-06,0.1090645606450617
fixed_data_simple_B-3W35_R290.pkl,0.20154981708009748,0.05287705192057627,1.7805011539073357,2.6992651127914915e-06,1.7893480062484701,9.954428654164042,0.009954428654164042,1209078.369140625,352256.77490234375,856821.5942382812,5.115326476097107,302.73045240238304,485.5585091798528,2.544690049407732e-06,0.13561273116309042
fixed_data_simple_B-3W35_R290.pkl,0.20102764293217978,0.049873128191681146,1.7834164608094951,2.713995227443568e-06,2.1076468610763546,11.98457788676025,0.011984577886760252,1205488.28125,350886.5356445312,854601.7456054688,4.824726867675781,302.8965448241093,485.26364932486536,2.544690049407732e-06,0.16353175028781483
fixed_data_simple_B-3W35_R290.pkl,0.2027780103020832,0.04910091547574956,1.7784271747979723,2.6888062864578536e-06,2.719843406677246,15.845902599394321,0.01584590259939432,1211643.06640625,349600.2197265625,862042.8466796875,4.750023002624512,303.1845361458127,484.79394282404235,2.544690049407732e-06,0.21538927479747308
fixed_data_simple_B-3W35_R290.pkl,0.2115528905804539,0.059260487963548096,1.764226435858101,2.6176481856195533e-06,3.186066389083862,18.874171413481243,0.018874171413481244,1229445.80078125,330099.4873046875,899346.3134765625,5.732860136032104,302.8142041178332,485.48612634258376,2.544690049407732e-06,0.25099560349486544
fixed_data_simple_B-3W65_R290.pkl,0.4581681169281408,0.05866369294554717,1.2633474408111778,6.3230372309611e-07,1.0883842897415212,7.17271761037406,0.007172717610374061,2313461.9140625,365713.5009765625,1947748.4130859375,5.675126180648804,331.8440162902621,432.77088535518925,2.544690049407732e-06,0.06864966085274764
fixed_data_simple_B-3W65_R290.pkl,0.46404440664497437,0.058306208841328984,1.2588661490383846,6.193341109921002e-07,1.340244336128234,9.115065857768014,0.009115065857768015,2330004.8828125,357275.390625,1972729.4921875,5.64054316520691,332.2332372320917,431.94002497137006,2.544690049407732e-06,0.08676896722663964
fixed_data_simple_B-3W65_R290.pkl,0.4612769698046698,0.05709643877665284,1.2618372627029597,6.279230368975569e-07,1.605547904968261,11.150987334549438,0.011150987334549438,2319013.671875,358049.01123046875,1960964.6606445312,5.523509998321532,332.1148582641094,432.1490477913744,2.544690049407732e-06,0.10644169196876105
fixed_data_simple_B-3W65_R290.pkl,0.46991201020949863,0.06292874235261624,1.2529231058445398,6.022718501504108e-07,2.0495533943176283,15.036571025848392,0.015036571025848393,2352268.06640625,354594.42138671875,1997673.6450195312,6.087727098464967,332.26035861451896,432.03891050994105,2.544690049407732e-06,0.14222476324161484
fixed_data_simple_B-3W65_R290.pkl,0.474759888207461,0.06754425964494884,1.2483298219838228,5.891926322998754e-07,2.291008024215698,17.08980679512024,0.01708980679512024,2369733.88671875,351451.11083984375,2018282.7758789062,6.53423228263855,332.183608064506,432.3559085796473,2.544690049407732e-06,0.16075909674002192
fixed_data_simple_B12W35_R290.pkl,0.16048642686286058,0.05316475352062028,1.781226422957014,2.7029265458535695e-06,1.2070410537719722,6.012352453544689,0.006012352453544689,1208183.59375,525929.2602539062,682254.3334960938,5.143158731460571,302.67161393613645,485.6553957435656,2.544690049407732e-06,0.09178195026607784
fixed_data_simple_B12W35_R290.pkl,0.16212645856252073,0.051468247116621055,1.777403208396103,2.683648781288633e-06,1.6693999576568614,8.927920758724163,0.008927920758724162,1212912.59765625,523686.21826171875,689226.3793945312,4.979038686752319,302.9994160428166,485.11405749736605,2.544690049407732e-06,0.13567429142187767
fixed_data_simple_B12W35_R290.pkl,0.16439469289737854,0.05415742488191435,1.7707432687565903,2.6502046754394472e-06,2.1594820022583003,12.022097930312153,0.012022097930312153,1221223.14453125,522354.1259765625,698869.0185546875,5.239189767837525,303.0257850575773,485.097831669297,2.544690049407732e-06,0.18143363893823058
fixed_data_simple_B12W35_R290.pkl,0.1649640306987444,0.0573353639423216,1.766517922278535,2.629076821547188e-06,2.717225666046143,15.254275938496002,0.015254275938496003,1226544.189453125,525254.8217773438,701289.3676757812,5.546623620986939,302.90105493346596,485.32849954950217,2.544690049407732e-06,0.22976040289059793
fixed_data_simple_B12W35_R290.pkl,0.16642865237222404,0.06024283245449158,1.7632669787946915,2.612869101802918e-06,3.210000038146972,18.14409725368023,0.01814409725368023,1230664.0625,523148.3459472656,707515.7165527344,5.827892150878906,302.76084873632453,485.5809392983086,2.544690049407732e-06,0.27201109230378684
fixed_data_simple_B12W35_R290.pkl,0.1717543764267735,0.06579395779281154,1.7434613447366016,2.5150278829407624e-06,4.226064682006838,24.33224892243743,0.02433224892243743,1256260.986328125,526104.736328125,730156.25,6.364908065795899,303.0926034797886,485.104986337336,2.544690049407732e-06,0.3592581163019601
fixed_data_simple_B12W35_R290.pkl,0.17346465110192683,0.06284782944298356,1.747811880208107,2.536387079848935e-06,4.721285820007322,26.782333739101897,0.0267823337391019,1250563.96484375,513137.0544433594,737426.9104003906,6.079899582862853,303.185380781178,484.92730708703954,2.544690049407732e-06,0.39355072503892213
fixed_data_simple_B12W50_R290.pkl,0.27586731587019026,0.059531198901965794,1.476416973131797,1.349550947030321e-06,0.9514484804868698,5.630556503310768,0.005630556503310768,1709830.3222656248,537072.75390625,1172757.5683593748,5.759048714637756,317.29764405177565,460.97514915565444,2.544690049407732e-06,0.06729124331906211
fixed_data_simple_B12W50_R290.pkl,0.2780126519178285,0.05819484839831551,1.475316708650759,1.345352123965193e-06,1.3361898708343505,8.543762508779729,0.008543762508779728,1712241.2109374998,530363.4643554688,1181877.746582031,5.629770154953003,317.49169185050624,460.6025926461467,2.544690049407732e-06,0.10175360660677026
fixed_data_simple_B12W50_R290.pkl,0.28207970943092686,0.06235888818794574,1.4696258764884196,1.3237153283341323e-06,1.8269209861755382,11.545184403657913,0.011545184403657913,1724802.2460937498,525634.765625,1199167.4804687498,6.032599401473999,317.42523946636413,460.79479927868664,2.544690049407732e-06,0.13647631226640458
fixed_data_simple_B12W50_R290.pkl,0.28460109844445286,0.06501900407676861,1.4645615218892944,1.3045740248302164e-06,2.1986192154884336,14.648838825523848,0.014648838825523848,1736110.8398437502,526224.5178222656,1209886.3220214846,6.289939036369324,317.46920162832424,460.76227740788323,2.544690049407732e-06,0.17240210718818613
fixed_data_simple_B12W50_R290.pkl,0.29005532012407415,0.06871433708635075,1.4555656175136797,1.2708371891284124e-06,2.6377457761764522,17.629117779433727,0.01762911777943373,1756507.568359375,523434.4482421875,1233073.1201171875,6.6474255847930905,317.6515320656216,460.4997229343609,2.544690049407732e-06,0.20557561016081008
fixed_data_simple_B12W50_R290.pkl,0.295886384419793,0.07490141900918885,1.4451679270825115,1.2322653606879457e-06,3.435548672676086,23.505988568067558,0.023505988568067557,1780588.3789062498,522726.4404296875,1257861.9384765623,7.245963945388794,317.6844159437894,460.5508622365499,2.544690049407732e-06,0.2713771913132608
fixed_data_simple_B12W50_R290.pkl,0.30099499055980067,0.07666653968121995,1.4410617139891744,1.2171576242397105e-06,4.147958507537841,29.133272357285033,0.029133272357285033,1790251.46484375,510671.9970703125,1279579.4677734375,7.416721735000611,317.76526930916503,460.4375056223665,2.544690049407732e-06,0.33351886326126307
fixed_data_simple_B12W65_R290.pkl,0.4249506911968557,0.06347865265958295,1.2567238645844239,6.131655504731129e-07,1.1931684708595278,7.86109343171116,0.00786109343171116,2337987.060546875,531451.416015625,1806535.64453125,6.140925426483154,331.9032992061782,432.8062871208166,2.544690049407732e-06,0.07812014139839717
fixed_data_simple_B12W65_R290.pkl,0.43167707525787974,0.0661908580001251,1.2498679103247212,5.935617940844578e-07,1.5890244030952443,10.849684961140156,0.010849684961140155,2363859.86328125,528729.248046875,1835130.615234375,6.403304195404052,332.19041032597767,432.29595548114867,2.544690049407732e-06,0.10703927578454128
fixed_data_simple_B12W65_R290.pkl,0.4394867876205571,0.073066681498638,1.241832891582523,5.708538819399754e-07,1.8988606643676753,13.931410796940316,0.013931410796940316,2394833.984375,526502.9907226562,1868330.9936523438,7.068471422195435,332.1771854067112,432.556137538327,2.544690049407732e-06,0.13617489861925725
fixed_data_simple_B12W65_R290.pkl,0.4496330749544433,0.08201198073396399,1.2311543637767814,5.41122871945081e-07,2.2261896133422883,16.917304880917072,0.016917304880917073,2437131.34765625,525666.8090820312,1911464.5385742188,7.933839750289917,332.19195714481884,432.82938015495705,2.544690049407732e-06,0.16343301691437812
fixed_data_simple_B12W65_R290.pkl,0.46088451365033023,0.0913283572337287,1.218711286459962,5.071262689150571e-07,2.863331079483031,22.938787564635277,0.022938787564635278,2488132.32421875,528836.0595703125,1959296.2646484375,8.835106096267701,332.3368111531208,432.84976321250485,2.544690049407732e-06,0.21887790471822122
fixed_data_simple_B12W65_R290.pkl,0.4707974234539882,0.09522459841912415,1.214390977817018,4.95485958518027e-07,2.990243701934814,23.809589110314842,0.023809589110314843,2506291.50390625,504853.82080078137,2001437.6831054688,9.212028503417969,332.3284706446766,433.0013927595794,2.544690049407732e-06,0.2247430800414311
fixed_data_simple_B2W35_R290.pkl,0.18646175515964888,0.051706501831759955,1.7803676735947203,2.6985914787629722e-06,0.9700000000000002,4.6401162026449745,0.004640116202644974,1209243.1640625,416563.41552734375,792679.7485351562,5.0020874500274655,302.84940015491236,485.35682225494656,2.544690049407732e-06,0.06573543127994187
fixed_data_simple_B2W35_R290.pkl,0.18742261589237894,0.05180456357650447,1.7823382945178208,2.7085437072854614e-06,1.2684400010108938,6.867483658716041,0.006867483658716041,1206813.96484375,410049.4384765625,796764.5263671875,5.011573944091797,302.755705091823,485.5078131486479,2.544690049407732e-06,0.09702522053828826
fixed_data_simple_B2W35_R290.pkl,0.19021582404408058,0.051439892116422394,1.7776649403799536,2.68496667858308e-06,1.5844018316268906,9.114084243774377,0.009114084243774377,1212587.890625,403948.9746093751,808638.9160156249,4.976295623779296,302.99093516715374,485.12738533126037,2.544690049407732e-06,0.12786684060345163
fixed_data_simple_B2W35_R290.pkl,0.1922178026854236,0.05583356904972891,1.775021418990773,2.671668150699167e-06,2.027680063247682,11.356048956513398,0.011356048956513399,1215874.0234375,398724.36523437494,817149.658203125,5.40133996963501,302.67937914184506,485.6685694687072,2.544690049407732e-06,0.1584005064218243
fixed_data_simple_B2W35_R290.pkl,0.19403686962359168,0.05429850794168295,1.7709592690202514,2.651286622340926e-06,2.377690315246581,13.593026828020804,0.013593026828020804,1220952.1484375,396069.3359375,824882.8125,5.252838144302368,303.0028161690586,485.1360210968449,2.544690049407732e-06,0.18881582754553336
fixed_data_simple_B2W35_R290.pkl,0.1973170048092947,0.061692054009697336,1.758353839736453,2.5884534757330737e-06,3.099999904632569,18.186833448708065,0.018186833448708063,1236933.59375,398106.38427734375,838827.2094726562,5.9680898571014405,302.8346551366478,485.47709278976316,2.544690049407732e-06,0.25043012727100133
fixed_data_simple_B2W35_R290.pkl,0.20216739533065234,0.059476794468656675,1.7586034826548016,2.58969176992544e-06,3.7599999904632573,21.845204941928383,0.021845204941928383,1236613.76953125,377166.748046875,859447.021484375,5.75378562927246,303.0380617194571,485.1300486874806,2.544690049407732e-06,0.29728129960515515
fixed_data_simple_B2W50_R290.pkl,0.3043244429904335,0.05877805370643682,1.4788938152881919,1.359021505420347e-06,1.097647862434387,6.467321291565846,0.006467321291565846,1704423.828125,410690.3076171876,1293733.5205078125,5.6861894416809085,317.2250121048265,461.09274180856784,2.544690049407732e-06,0.07357969599072951
fixed_data_simple_B2W50_R290.pkl,0.3063824867966821,0.058804417268442065,1.4768092383373854,1.3510491264902834e-06,1.345422434806823,8.747664932161527,0.008747664932161527,1708972.16796875,406489.56298828125,1302482.6049804688,5.688739852905274,317.34488216265345,460.87759164304595,2.544690049407732e-06,0.09921183626649042
fixed_data_simple_B2W50_R290.pkl,0.3091817967909152,0.057713053440084705,1.4722320270258258,1.3336072719369517e-06,1.74949049949646,11.112153213471176,0.011112153213471176,1719030.76171875,404647.8271484375,1314382.9345703125,5.583161306381226,317.72034488586337,460.18153934083546,2.544690049407732e-06,0.12555175253158687
fixed_data_simple_B2W50_R290.pkl,0.3125728060447318,0.06385465267327303,1.4665622660117958,1.3121232722038533e-06,2.073364193439486,13.404256068170067,0.013404256068170067,1731628.41796875,402829.7424316406,1328798.6755371094,6.177299671173095,317.4625860194263,460.7537772641985,2.544690049407732e-06,0.15053198238233043
fixed_data_simple_B2W50_R290.pkl,0.3124599937442847,0.06268108072659513,1.466860503568325,1.3132500193185524e-06,2.6329282331466675,17.921837568283088,0.01792183756828309,1730961.9140625,402642.822265625,1328319.091796875,6.063768310546875,317.55836566541046,460.5608921297431,2.544690049407732e-06,0.20134363789233048
fixed_data_simple_B2W50_R290.pkl,0.32167650384915936,0.06955334100875728,1.4560750501822588,1.2727386453874725e-06,3.2011106777191163,21.842201538383957,0.021842201538383958,1755341.796875,387841.79687500006,1367500.0,6.728590831756592,317.53963811600045,460.7155626411243,2.544690049407732e-06,0.24180563189449636
fixed_data_simple_B2W65_R290.pkl,0.44577233150528717,0.06134623826837645,1.2618445525600164,6.279441587777348e-07,1.0073999929428121,6.031801020726512,0.006031801020726512,2318986.81640625,423934.9365234375,1895051.8798828125,5.934635639190674,331.7031564069055,433.1544124393093,2.544690049407732e-06,0.05850125644932862
fixed_data_simple_B2W65_R290.pkl,0.44973163765792024,0.06008049795639462,1.261031656037513,6.255903007119295e-07,1.197580814361571,8.163402024656492,0.008163402024656492,2321984.86328125,410101.318359375,1911883.544921875,5.812187910079956,331.8899000645392,432.7215235538264,2.544690049407732e-06,0.07886536705719872
fixed_data_simple_B2W65_R290.pkl,0.4569708277439168,0.06327528463715207,1.2543182578750738,6.06263140965878e-07,1.4656807100772873,10.345877259969715,0.010345877259969716,2347008.056640625,404349.5178222656,1942658.5388183594,6.121251602172851,332.1150763010649,432.35573576304705,2.544690049407732e-06,0.09919701056044035
fixed_data_simple_B2W65_R290.pkl,0.4654530708331225,0.06863936561447853,1.2465607178869051,5.841803105088979e-07,1.739213585853578,12.486661979928613,0.012486661979928614,2376522.216796875,397804.2602539062,1978717.9565429688,6.640172843933105,332.220827204264,432.3150599811058,2.544690049407732e-06,0.11863267850411996
fixed_data_simple_B2W65_R290.pkl,0.468769960646779,0.07394461719485698,1.2412499020391814,5.692175280341034e-07,2.261236190795899,17.2883864119649,0.017288386411964903,2397109.375,404290.771484375,1992818.603515625,7.15340292930603,332.1398966131319,432.66352522952997,2.544690049407732e-06,0.1636046129800385
fixed_data_simple_B2W65_R290.pkl,0.47893498422655556,0.07891518422802238,1.2306850153351654,5.398278712029154e-07,2.5777270650863646,19.7316300496459,0.019731630049645902,2439020.99609375,402989.19677734387,2036031.7993164062,7.634255628585814,332.5305934281456,432.0199446726248,2.544690049407732e-06,0.18487104581296665
fixed_data_simple_B7W50_R290.pkl,0.2894067301561835,0.05917317688959938,1.478870265787708,1.3589313402958601e-06,0.9079999923706054,4.865947132930117,0.004865947132930117,1704475.09765625,474159.24072265625,1230315.8569335938,5.724413661956787,317.1881691611545,461.1657605699708,2.544690049407732e-06,0.05676500210316592
fixed_data_simple_B7W50_R290.pkl,0.2919073370119115,0.057299232169450064,1.4783457556451733,1.3569237209329142e-06,1.1978471851348877,7.331248614937027,0.007331248614937027,1705617.6757812502,464671.32568359375,1240946.3500976565,5.543128232955931,317.4002294145693,460.7518616978111,2.544690049407732e-06,0.08519576474635306
fixed_data_simple_B7W50_R290.pkl,0.2933160012000596,0.057640886208143685,1.476310454430134,1.3491442305242317e-06,1.4863273406028739,10.037582758814096,0.010037582758814096,1710063.4765625,463128.662109375,1246934.814453125,5.5761798477172855,317.48677960564345,460.6018080526033,2.544690049407732e-06,0.11638434187189377
fixed_data_simple_B7W50_R290.pkl,0.29731371306744875,0.06167338835542984,1.4698281997464608,1.3244822553516069e-06,1.944098234176639,12.702218834310779,0.01270221883431078,1724353.02734375,460423.27880859363,1263929.7485351562,5.966284141540528,317.4795559910864,460.6851129090735,2.544690049407732e-06,0.14627366534041467
fixed_data_simple_B7W50_R290.pkl,0.3026818269809954,0.06535626617651492,1.4610011197577224,1.2911811959315856e-06,2.333717775344849,15.340397898107765,0.015340397898107766,1744135.7421875,457385.25390625,1286750.48828125,6.322565774917603,317.64951395097285,460.4439137558072,2.544690049407732e-06,0.1751262288880863
fixed_data_simple_B7W50_R290.pkl,0.31002930682532764,0.07426804613852701,1.4469608912220937,1.238884299244806e-06,3.0305484676361063,20.53402826189995,0.020534028261899952,1776396.484375,458410.6445312499,1317985.83984375,7.1846914482116695,317.63622601149285,460.625969141388,2.544690049407732e-06,0.23157660588977083
fixed_data_simple_B7W50_R290.pkl,0.3108323093024526,0.07122242686345807,1.4493296395184945,1.2476494861025362e-06,3.7122164821624755,25.59027023613453,0.02559027023613453,1770883.7890624998,449484.2529296875,1321399.5361328123,6.890058212280273,317.78661749053117,460.3015562722561,2.544690049407732e-06,0.2883279114352749
fixed_data_simple_B7W65_R290.pkl,0.4357381745012122,0.06159786374461879,1.2603472931089446,6.236109086486119e-07,1.032436711788177,6.831506695598317,0.006831506695598317,2324514.16015625,472119.1406249999,1852395.01953125,5.958977890014649,331.7973050040846,432.96576085345515,2.544690049407732e-06,0.06703058811723436
fixed_data_simple_B7W65_R290.pkl,0.44273469072041804,0.06439159571186073,1.2540118166391605,6.053857211749319e-07,1.3419543504714984,9.402749780565443,0.009402749780565444,2348161.62109375,466023.25439453113,1882138.3666992188,6.229243545532227,332.0316098149171,432.56813384757226,2.544690049407732e-06,0.09156973437230302
fixed_data_simple_B7W65_R290.pkl,0.4494401849440701,0.06936927360190294,1.246185528659251,5.831191025468763e-07,1.7008500742912285,12.260127477347854,0.012260127477347855,2377966.30859375,467321.7773437501,1910644.53125,6.710784149169922,332.1806309673146,432.4238122578646,2.544690049407732e-06,0.11852237571039272
fixed_data_simple_B7W65_R290.pkl,0.4577893719729011,0.07483365904556691,1.2385877239794962,5.617646014972604e-07,1.964358925819398,14.777051322162146,0.014777051322162147,2407548.828125,461410.5224609375,1946138.3056640625,7.239408845901489,332.2720410402153,432.4185135769827,2.544690049407732e-06,0.14154642403634232
fixed_data_simple_B7W65_R290.pkl,0.4699433090723653,0.08493107916237537,1.225726597473093,5.26207451556133e-07,2.5759630203247084,19.968714453279972,0.01996871445327997,2459145.5078125,461338.80615234363,1997806.7016601562,8.216233358383178,332.36311264856664,432.5751162436277,2.544690049407732e-06,0.18875250236011806
fixed_data_simple_B7W65_R290.pkl,0.48170163141665023,0.092597787241701,1.2182678226087444,5.059275457084251e-07,2.767285971641541,21.669079884886738,0.021669079884886738,2489985.3515625,442192.07763671875,2047793.2739257812,8.957910766601563,332.2517105181594,433.0684581709638,2.544690049407732e-06,0.20219445824769797
